task,freq,horizon,model,folds,primary_metric,uncertainty,delta_vs_baseline
regression,15m,12,zero_return,3,337.2261522945032,34.62082344067613,1.0
regression,15m,12,symbolic_no_volume,3,339.40916521142617,36.46496113967705,1.0061430707385712
regression,15m,12,numeric_relative,3,349.46047713917915,27.684424190902853,1.0379391602907206
regression,15m,12,seasonal_return,3,514.606742052756,71.66407590162439,1.5249233482093505
regression,15m,12,last_return,3,1272.984980535368,137.8328316123242,3.7796934460979563
regression,1h,1,numeric_relative,3,306.1849893527563,99.60508347635226,0.9988173389203654
regression,1h,1,zero_return,3,306.67826388888903,100.51518114043866,1.0
regression,1h,1,symbolic_no_volume,3,308.7560599433054,97.56829146092916,1.0091321003781648
regression,1h,1,seasonal_return,3,432.37999777041244,136.7469820577952,1.413170384320184
regression,1h,1,last_return,3,439.99514598598745,143.41202116527836,1.435079697026793
regression,1h,12,numeric_relative,3,1110.7352528745996,549.8215937862818,0.9894904532435967
regression,1h,12,symbolic_fine_body,3,1114.104885216346,541.95637826501,0.9951806956842527
regression,1h,12,zero_return,3,1120.1121948717948,547.1891355004017,1.0
regression,1h,12,seasonal_return,3,1596.0027454360745,870.4844413211937,1.401810445248444
regression,1h,12,last_return,3,3858.058741033447,1280.6797468800648,3.607587892277984
direction,15m,4,numeric_relative,3,0.5191618572096218,0.031042487445754104,0.019161857209621862
direction,15m,4,symbolic_fine_body,3,0.5037406292502857,0.02347697731008109,0.0037406292502857505
direction,15m,4,majority_sign,3,0.5,0.0,0.0
direction,15m,4,last_sign,3,0.47718152540074493,0.012247227507908512,-0.022818474599255067
direction,1h,1,symbolic_no_volume,3,0.5382077390066767,0.013471989967014148,0.0382077390066767
direction,1h,1,numeric_relative,3,0.5235620009812046,0.03434442073773864,0.023562000981204683
direction,1h,1,majority_sign,3,0.5,0.0,0.0
direction,1h,1,last_sign,3,0.48301609552734553,0.015563699213894559,-0.016983904472654483
