freq,task,horizon,fold,model,n_samples,return_mae,return_rmse,price_mae,price_rmse,direction_acc,vocab_size,baseline_price_mae,baseline_price_rmse,price_mae_vs_baseline,price_rmse_vs_baseline
15m,regression,12,1,last_return,661,0.013412913819313987,0.021767636444481184,1175.380393083649,1899.2149594816185,0.481089258698941,,335.8057639939485,549.3987613031929,3.500179327192342,3.4568970541116886
15m,regression,12,1,numeric_relative,661,0.003987249704906264,0.006270729859639887,350.34269217302153,553.0008615830875,0.47806354009077157,,335.8057639939485,549.3987613031929,1.0432896922499966,1.0065564404829568
15m,regression,12,1,seasonal_return,661,0.006436780737594444,0.009305184557418682,564.7738613638971,816.8529144432554,0.4750378214826021,,335.8057639939485,549.3987613031929,1.681846835047402,1.4868124429433585
15m,regression,12,1,symbolic_no_volume,661,0.0038778996084724193,0.006250144618268739,342.8802163285388,551.7094297900952,0.4962178517397882,31.0,335.8057639939485,549.3987613031929,1.0210670962000454,1.0042058130626674
15m,regression,12,1,zero_return,661,0.003817740910885755,0.006229699431585128,335.8057639939485,549.3987613031929,0.0,,335.8057639939485,549.3987613031929,1.0,1.0
15m,regression,12,2,last_return,661,0.013371883547058445,0.019134973547707747,1212.9162595164566,1748.2417465281396,0.47655068078668683,,303.33738275340386,431.6238587212226,3.998571651495025,4.050382552316912
15m,regression,12,2,numeric_relative,661,0.0035571499921487585,0.004946055723165306,321.34548996548784,448.62995618322583,0.3827534039334342,,303.33738275340386,431.6238587212226,1.0593665938850787,1.0394002720618536
15m,regression,12,2,seasonal_return,661,0.004774059793309257,0.00654774881963175,432.5303330224605,594.7202210881595,0.5431164901664145,,303.33738275340386,431.6238587212226,1.4259051393414415,1.377866883564186
15m,regression,12,2,symbolic_no_volume,661,0.0033187037204300473,0.004727095797727757,301.3327915061225,429.40787693120194,0.5491679273827534,31.0,303.33738275340386,431.6238587212226,0.9933915456476692,0.9948659423123969
15m,regression,12,2,zero_return,661,0.0033521551677874436,0.004755521722505895,303.33738275340386,431.6238587212226,0.0,,303.33738275340386,431.6238587212226,1.0,1.0
15m,regression,12,3,last_return,661,0.015680833196215205,0.023523717800742736,1430.6582890059983,2161.973333721719,0.4735249621785174,,372.5353101361573,539.2480925001523,3.840329359606501,4.009236868503357
15m,regression,12,3,numeric_relative,661,0.004124741557842834,0.005923543322107411,376.693249279028,542.2210010454818,0.5037821482602118,,372.5353101361573,539.2480925001523,1.0111611947370869,1.0055130627009656
15m,regression,12,3,seasonal_return,661,0.005990062108762716,0.008066915146488074,546.5160317719102,737.4441293531702,0.5355521936459909,,372.5353101361573,539.2480925001523,1.4670180702392075,1.3675414704465771
15m,regression,12,3,symbolic_no_volume,661,0.004103217660622631,0.0059186578527912655,374.0144877996172,540.8205600722047,0.4826021180030257,31.0,372.5353101361573,539.2480925001523,1.0039705703679989,1.0029160373377712
